0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0
10.0,10.0,10.0,10.0
11.0,11.0,11.0,11.0
100.0,100.0,100.0,100.0
101.0,101.0,101.0,101.0
110.0,110.0,110.0,110.0
111.0,111.0,111.0,111.0
1000.0,1000.0,1000.0,1000.0
1001.0,1001.0,1001.0,1001.0
1010.0,1010.0,1010.0,1010.0
1011.0,1011.0,1011.0,1011.0
1100.0,1100.0,1100.0,1100.0
1101.0,1101.0,1101.0,1101.0
1110.0,1110.0,1110.0,1110.0
1111.0,1111.0,1111.0,1111.0
10000.0,10000.0,10000.0,10000.0
10001.0,10001.0,10001.0,10001.0
10010.0,10010.0,10010.0,10010.0
10011.0,10011.0,10011.0,10011.0
10100.0,10100.0,10100.0,10100.0
10101.0,10101.0,10101.0,10101.0
10110.0,10110.0,10110.0,10110.0
10111.0,10111.0,10111.0,10111.0
11000.0,11000.0,11000.0,11000.0
11001.0,11001.0,11001.0,11001.0
11010.0,11010.0,11010.0,11010.0
11011.0,11011.0,11011.0,11011.0
11100.0,11100.0,11100.0,11100.0
11101.0,11101.0,11101.0,11101.0
11110.0,11110.0,11110.0,11110.0
11111.0,11111.0,11111.0,11111.0
