n,p,demand,solar,carbon
1,-,1,120,35
11,1,1.111,560,28
12,1,1.111,700,45.5
13,1,1.155,560,28
14,1,1.155,700,45.5
111,11,1.234321,1120,22.4
112,11,1.234321,1400,36.4
113,11,1.283205,1120,22.4
114,11,1.283205,1400,36.4
121,12,1.234321,1120,36.4
122,12,1.234321,1400,59.15
123,12,1.283205,1120,36.4
124,12,1.283205,1400,59.15
131,13,1.283205,1120,22.4
132,13,1.283205,1400,36.4
133,13,1.334025,1120,22.4
134,13,1.334025,1400,36.4
141,14,1.283205,1120,36.4
142,14,1.283205,1400,59.15
143,14,1.334025,1120,36.4
144,14,1.334025,1400,59.15
1111,111,1.371330631,1720,17.92
1112,111,1.371330631,2150,29.12
1113,111,1.425640755,1720,17.92
1114,111,1.425640755,2150,29.12
1121,112,1.371330631,1720,29.12
1122,112,1.371330631,2150,47.32
1123,112,1.425640755,1720,29.12
1124,112,1.425640755,2150,47.32
1131,113,1.425640755,1720,17.92
1132,113,1.425640755,2150,29.12
1133,113,1.482101775,1720,17.92
1134,113,1.482101775,2150,29.12
1141,114,1.425640755,1720,29.12
1142,114,1.425640755,2150,47.32
1143,114,1.482101775,1720,29.12
1144,114,1.482101775,2150,47.32
1211,121,1.371330631,1720,29.12
1212,121,1.371330631,2150,47.32
1213,121,1.425640755,1720,29.12
1214,121,1.425640755,2150,47.32
1221,122,1.371330631,1720,47.32
1222,122,1.371330631,2150,76.895
1223,122,1.425640755,1720,47.32
1224,122,1.425640755,2150,76.895
1231,123,1.425640755,1720,29.12
1232,123,1.425640755,2150,47.32
1233,123,1.482101775,1720,29.12
1234,123,1.482101775,2150,47.32
1241,124,1.425640755,1720,47.32
1242,124,1.425640755,2150,76.895
1243,124,1.482101775,1720,47.32
1244,124,1.482101775,2150,76.895
1311,131,1.425640755,1720,17.92
1312,131,1.425640755,2150,29.12
1313,131,1.482101775,1720,17.92
1314,131,1.482101775,2150,29.12
1321,132,1.425640755,1720,29.12
1322,132,1.425640755,2150,47.32
1323,132,1.482101775,1720,29.12
1324,132,1.482101775,2150,47.32
1331,133,1.482101775,1720,17.92
1332,133,1.482101775,2150,29.12
1333,133,1.540798875,1720,17.92
1334,133,1.540798875,2150,29.12
1341,134,1.482101775,1720,29.12
1342,134,1.482101775,2150,47.32
1343,134,1.540798875,1720,29.12
1344,134,1.540798875,2150,47.32
1411,141,1.425640755,1720,29.12
1412,141,1.425640755,2150,47.32
1413,141,1.482101775,1720,29.12
1414,141,1.482101775,2150,47.32
1421,142,1.425640755,1720,47.32
1422,142,1.425640755,2150,76.895
1423,142,1.482101775,1720,47.32
1424,142,1.482101775,2150,76.895
1431,143,1.482101775,1720,29.12
1432,143,1.482101775,2150,47.32
1433,143,1.540798875,1720,29.12
1434,143,1.540798875,2150,47.32
1441,144,1.482101775,1720,47.32
1442,144,1.482101775,2150,76.895
1443,144,1.540798875,1720,47.32
1444,144,1.540798875,2150,76.895
